timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
125192000,-0.001016021,-0.005921518,-0.000150924,-0.22420704,0.16179165,-0.005153812
126192000,-0.001005497,-0.005929141,-0.000150689,-0.22401749,0.1622448,-0.007479608
127192000,-0.000984644,-0.005939229,-0.00015065,-0.22410052,0.1627801,-0.009344889
128192000,-0.000950891,-0.005958249,-0.000143789,-0.22438553,0.16357715,-0.01100365
129192000,-0.000919422,-0.005969032,-0.000135026,-0.22440784,0.16427141,-0.012440125
130192000,-0.000884255,-0.005967987,-0.00012425,-0.22465822,0.16466089,-0.014377159
131192000,-0.00085052,-0.005962484,-0.000113,-0.22491026,0.16487382,-0.01558282
132192000,-0.000824674,-0.005955098,-9.68E-05,-0.22520806,0.16502492,-0.016281487
133192000,-0.000803137,-0.005945504,-8.50E-05,-0.2254762,0.16498353,-0.016656954
134192000,-0.000776716,-0.005932075,-8.54E-05,-0.22582638,0.16481215,-0.016574228
135192000,-0.000754773,-0.005931838,-7.66E-05,-0.22655565,0.16476186,-0.016703654
136192000,-0.00072665,-0.005941412,-7.31E-05,-0.22802919,0.16479744,-0.016859027
137192000,-0.000697322,-0.005972795,-8.02E-05,-0.23077771,0.165999,-0.01737636
138192000,-0.000681618,-0.006013013,-9.89E-05,-0.23385125,0.1689547,-0.016985873
139192000,-0.000676501,-0.006053638,-0.000134792,-0.23720525,0.17353876,-0.015190752
140192000,-0.000670355,-0.006072994,-0.000164937,-0.23977377,0.17691211,-0.01229117
141192000,-0.000658265,-0.00607743,-0.000188759,-0.24216075,0.1796846,-0.008629356
142192000,-0.000641631,-0.006074194,-0.000196208,-0.24439263,0.18135507,-0.005649265
143192000,-0.000627531,-0.006064906,-0.000197782,-0.24679472,0.18257684,-0.003508812
144192000,-0.00061675,-0.006053574,-0.000198169,-0.2487848,0.18351282,-0.003072213
145192000,-0.000608903,-0.006045172,-0.000196107,-0.25029436,0.18406968,-0.003948866
146192000,-0.000599023,-0.006041093,-0.000194477,-0.25166035,0.18475096,-0.005742305
147200000,-0.000595798,-0.006040046,-0.00019376,-0.2525793,0.18510085,-0.007760052
148192000,-0.000594209,-0.00604263,-0.000191193,-0.25340006,0.18528405,-0.010172018
149192000,-0.000595804,-0.006040026,-0.000191519,-0.25437626,0.1855537,-0.014205206
150192000,-0.000601643,-0.006037687,-0.000191635,-0.25493717,0.18558758,-0.01784458
151192000,-0.000606443,-0.006038621,-0.000200257,-0.25505987,0.18564652,-0.02106241
152192000,-0.000615125,-0.006044779,-0.000204663,-0.25530776,0.18568902,-0.023871897
153200000,-0.000616922,-0.006052135,-0.000210951,-0.25535893,0.18571366,-0.0249394
154192000,-0.000608904,-0.006067141,-0.000214539,-0.25529394,0.18559596,-0.025755906
155192000,-0.000603459,-0.006073327,-0.000226244,-0.25493497,0.18543911,-0.025993254
156192000,-0.000595232,-0.006076452,-0.000236029,-0.25484872,0.1853689,-0.025605636
157192000,-0.000590622,-0.006080867,-0.000241969,-0.25479183,0.1853083,-0.024767365
158192000,-0.000582571,-0.006098962,-0.000251297,-0.25526565,0.1854203,-0.024105001
159192000,-0.000579279,-0.006096731,-0.000248158,-0.25583863,0.18588203,-0.02417138
160200000,-0.000587827,-0.006070486,-0.000198382,-0.25526914,0.18809532,-0.02554969
161192000,-0.000588442,-0.00605337,-0.000153634,-0.25451812,0.19009887,-0.02657683
162192000,-0.000592031,-0.00604336,-0.000125531,-0.2537921,0.19197538,-0.028724832
163192000,-0.000594085,-0.006037955,-0.000103188,-0.25301063,0.19362004,-0.031517807
164200000,-0.000586499,-0.006030336,-8.98E-05,-0.2513028,0.19592398,-0.034512028
165192000,-0.000578179,-0.006030481,-7.28E-05,-0.25019744,0.19804958,-0.035263836
166192000,-0.000561443,-0.006029383,-6.20E-05,-0.24924462,0.20026982,-0.037192333
167192000,-0.000562487,-0.006025822,-5.33E-05,-0.24909374,0.2021755,-0.038611285
168192000,-0.000558437,-0.00601179,-3.89E-05,-0.24956347,0.20388268,-0.0408365
169192000,-0.000564429,-0.005983868,-1.33E-05,-0.25035068,0.20549107,-0.04181667
170192000,-0.000578681,-0.005956474,4.50E-07,-0.25106466,0.20649084,-0.042822313
171200000,-0.000590501,-0.005941801,2.70E-05,-0.2518326,0.20747018,-0.043540865
172192000,-0.000604045,-0.005923603,4.01E-05,-0.2521928,0.20838939,-0.043513026
173192000,-0.000609089,-0.005918419,5.55E-05,-0.2524717,0.20899363,-0.04465994
174192000,-0.000615097,-0.005916846,6.97E-05,-0.25284424,0.20936283,-0.044508558
175192000,-0.000614596,-0.005916248,7.06E-05,-0.2533448,0.20916212,-0.044678826
176192000,-0.000611452,-0.005919664,8.12E-05,-0.25354064,0.20953676,-0.044049777
177192000,-0.000610289,-0.005929942,9.49E-05,-0.25371003,0.21010254,-0.042814188
178192000,-0.000605058,-0.005944462,0.000101273,-0.25385928,0.21094435,-0.04006024
179192000,-0.000600859,-0.005958677,0.000104165,-0.25425604,0.21203274,-0.037204735
180192000,-0.000591007,-0.005976689,9.60E-05,-0.25493503,0.2130878,-0.03509068
181192000,-0.000579165,-0.005994912,8.66E-05,-0.25583136,0.21422917,-0.03269748
182192000,-0.000567921,-0.006000163,8.14E-05,-0.25668544,0.21500354,-0.031232355
183200000,-0.00055788,-0.005999981,8.06E-05,-0.25729683,0.21535097,-0.029561346
184192000,-0.000551604,-0.00599434,8.55E-05,-0.2575557,0.21511544,-0.028075565
185192000,-0.000549451,-0.005992339,8.50E-05,-0.2576771,0.21511242,-0.027903175
186192000,-0.000553334,-0.0059926,8.43E-05,-0.25772694,0.21515338,-0.028018583
187192000,-0.000561016,-0.005993044,9.04E-05,-0.25776738,0.21498746,-0.028258922
188192000,-0.000567819,-0.005987714,8.87E-05,-0.25769648,0.2146954,-0.029279817
189192000,-0.000579684,-0.005991093,9.18E-05,-0.2577444,0.21439621,-0.030202761
190192000,-0.000581633,-0.005988494,9.47E-05,-0.25772837,0.21408562,-0.0308027
191192000,-0.000584308,-0.005974902,9.11E-05,-0.25766203,0.21410625,-0.031195937
192192000,-0.000584275,-0.00596468,9.20E-05,-0.25764972,0.21425422,-0.03165974
193192000,-0.000579637,-0.0059537,9.80E-05,-0.2575594,0.2141684,-0.030748574
194192000,-0.000567253,-0.00593855,9.94E-05,-0.25730124,0.213799,-0.029364169
195192000,-0.000554572,-0.005925312,0.000100944,-0.25704196,0.21321999,-0.0281188
196192000,-0.000546057,-0.005916457,0.000115351,-0.25682217,0.21292502,-0.02682951
197192000,-0.000536957,-0.005907515,0.000108963,-0.2567013,0.21255045,-0.026811134
198192000,-0.000527215,-0.005908554,0.000111617,-0.25666767,0.21205597,-0.027271762
199192000,-0.000514462,-0.005908366,0.000107117,-0.2566209,0.21150102,-0.027765298
200192000,-0.000499282,-0.005912643,9.88E-05,-0.2565853,0.21092992,-0.027866459
201192000,-0.00048172,-0.00591955,8.97E-05,-0.25657597,0.21053012,-0.028260835
202192000,-0.000463176,-0.005936371,9.17E-05,-0.25659502,0.2101839,-0.028939106
203192000,-0.000445915,-0.005945643,8.31E-05,-0.25664595,0.21000159,-0.030492147
204192000,-0.000427422,-0.005951013,7.48E-05,-0.2566364,0.20962952,-0.031090565
205200000,-0.00041305,-0.005953404,7.15E-05,-0.25660986,0.2093953,-0.031289607
