timestamp,pressure,temperature
114916000,960.9618,12.111145
115012000,960.9743,12.112061
115108000,960.99426,12.112854
115204000,960.99695,12.113464
115324000,961.0179,12.114075
115420000,961.00305,12.11438
115516000,961.0218,12.114563
115612000,961.0089,12.114624
115708000,961.02014,12.114563
115804000,961.03534,12.114349
115924000,960.9974,12.113922
116020000,960.99084,12.113403
116116000,960.99506,12.112762
116212000,960.9769,12.111969
116308000,960.9605,12.111053
116404000,960.9549,12.110016
116524000,960.9089,12.1085205
116620000,960.8874,12.107178
116716000,960.85535,12.105713
116812000,960.8185,12.1041565
116908000,960.7999,12.102509
117004000,960.7727,12.100769
117100000,960.7359,12.098999
117224000,960.69446,12.09671
117316000,960.6846,12.094849
117412000,960.64014,12.092987
117508000,960.598,12.091156
117604000,960.55756,12.089325
117724000,960.5246,12.087128
117820000,960.5121,12.085388
117916000,960.465,12.08374
118012000,960.4351,12.082153
118108000,960.399,12.080627
118204000,960.41693,12.079163
118324000,960.37115,12.077454
118420000,960.34326,12.076172
118516000,960.2981,12.074951
118612000,960.28784,12.0737915
118708000,960.2685,12.072723
118804000,960.23584,12.071716
118924000,960.2253,12.070557
119020000,960.2197,12.069702
119116000,960.2175,12.068878
119212000,960.2037,12.068115
119308000,960.1728,12.067413
119404000,960.1875,12.066742
119524000,960.1552,12.065979
119620000,960.1438,12.065399
119716000,960.14233,12.06488
119812000,960.11957,12.064362
119908000,960.11804,12.063904
120004000,960.125,12.063446
120124000,960.1017,12.062927
120220000,960.1006,12.0625305
120316000,960.08435,12.062164
120412000,960.0774,12.061829
120508000,960.06683,12.061493
120604000,960.0776,12.061188
120700000,960.07544,12.060913
120820000,960.0784,12.060577
120916000,960.0467,12.060333
121012000,960.046,12.06012
121108000,960.0414,12.059906
121204000,960.04156,12.059723
121324000,960.0416,12.059509
121424000,960.0588,12.059357
121516000,960.0229,12.059235
121612000,960.0288,12.059113
121708000,960.0307,12.059021
121804000,960.0324,12.05896
121924000,960.0272,12.058868
122020000,960.0062,12.058838
122116000,960.021,12.058807
122216000,960.0302,12.058777
122308000,960.0296,12.058777
122408000,960.02264,12.058777
122524000,960.01373,12.058777
122620000,960.03973,12.058807
122716000,960.0335,12.058838
122812000,960.0275,12.058868
122908000,960.0377,12.058929
123004000,960.0377,12.05896
123124000,960.0529,12.0590515
123224000,960.0334,12.059113
123316000,960.04803,12.059204
123412000,960.06116,12.059296
123508000,960.0542,12.059387
123604000,960.0461,12.059509
123724000,960.0396,12.059692
123820000,960.0581,12.059845
123916000,960.0517,12.059998
124012000,960.0562,12.060181
124108000,960.06555,12.060394
124204000,960.07086,12.060638
124324000,960.0745,12.060974
124424000,960.05286,12.061249
124515999,960.0917,12.061554
124616000,960.09265,12.06189
124711999,960.0827,12.062286
124828000,960.1172,12.062775
124924000,960.1041,12.063202
125020000,960.1235,12.06366
125116000,960.122,12.064178
125211999,960.1494,12.064697
125332000,960.15936,12.065399
125428000,960.1586,12.065979
125524000,960.17474,12.06662
125620000,960.1699,12.067261
125740000,960.20404,12.068146
125836000,960.21295,12.068878
125936000,960.2256,12.069641
126032000,960.23315,12.070435
126124000,960.2507,12.071259
126220000,960.2605,12.072113
126340000,960.3009,12.073212
126436000,960.2988,12.074158
126532000,960.30896,12.075104
126627999,960.33765,12.07608
126747999,960.3534,12.077362
126844000,960.3807,12.07843
126940000,960.38477,12.079498
127039999,960.4181,12.080597
127156000,960.4493,12.082001
127252000,960.45355,12.08316
127348000,960.47363,12.08432
127443999,960.50824,12.08551
127544000,960.52203,12.0867
127660000,960.5635,12.088196
127759999,960.5639,12.0894165
127852000,960.5883,12.090607
127948000,960.60724,12.091827
128044000,960.6329,12.093018
128163999,960.65106,12.094482
128259999,960.672,12.095642
128356000,960.69904,12.096802
128452000,960.71936,12.097931
128572000,960.7431,12.099304
128668000,960.7641,12.100372
128768000,960.79755,12.10141
128860000,960.7956,12.102417
128955999,960.8153,12.103394
129076000,960.83374,12.104614
129172000,960.87555,12.10553
129268000,960.89795,12.106476
129364000,960.8795,12.107361
129484000,960.9275,12.108459
129556000,960.9091,12.1091
129675999,960.9414,12.110168
129771999,960.9599,12.111023
129868000,960.97394,12.111847
129988000,960.981,12.1128845
130084000,961.0049,12.113678
130180000,961.013,12.114471
130276000,961.03644,12.115265
130372000,961.04565,12.116028
130491999,961.05365,12.117004
130588000,961.0707,12.117737
130684000,961.0997,12.1185
130780000,961.09393,12.119202
130876000,961.1223,12.119934
130972000,961.11804,12.120605
131092000,961.14935,12.121429
131188000,961.1579,12.12207
131284000,961.1469,12.12265
131380000,961.15295,12.123199
131476000,961.1806,12.123688
131596000,961.1798,12.124237
131692000,961.1871,12.124634
131788000,961.1812,12.124908
131884000,961.2024,12.125153
131980000,961.2007,12.125305
132076000,961.2083,12.125336
132172000,961.2066,12.125305
132292000,961.21515,12.125092
132388000,961.19037,12.124786
132484000,961.19696,12.12439
132580000,961.1863,12.123871
132676000,961.1737,12.12323
132796000,961.16925,12.122284
132896000,961.1144,12.121399
132988000,961.10895,12.120422
133084000,961.1031,12.119354
133180000,961.08136,12.118195
133280000,961.06445,12.116943
133396000,961.0327,12.115265
133492000,960.9993,12.113892
133588000,960.9858,12.112427
133684000,960.9695,12.110931
133780000,960.939,12.1094055
133876000,960.9025,12.10788
133996000,960.87256,12.105896
134096000,960.8329,12.10434
134188000,960.8088,12.102753
134284000,960.78906,12.101166
134380000,960.7589,12.099609
134476000,960.70795,12.098053
134596000,960.6859,12.09613
134692000,960.6698,12.094635
134792000,960.6463,12.09314
134888000,960.61115,12.091705
134980000,960.5894,12.0903015
135076000,960.5614,12.088928
135196000,960.5317,12.08725
135292000,960.50543,12.085968
135388000,960.4833,12.084747
135484000,960.46027,12.083527
135580000,960.47015,12.082367
135676000,960.42694,12.081238
135796000,960.41003,12.079895
135892000,960.4042,12.078857
135988000,960.36584,12.07785
136084000,960.33997,12.076874
136180000,960.3232,12.075928
136276000,960.32635,12.075012
136396000,960.2961,12.073883
136492000,960.26764,12.072998
136588000,960.26385,12.072144
136684000,960.2549,12.07132
136780000,960.2348,12.070496
136876000,960.2104,12.069672
136996000,960.1982,12.068665
137092000,960.1824,12.067871
137188000,960.1843,12.067078
137284000,960.1582,12.066284
137384000,960.1323,12.065521
137476000,960.1415,12.064789
137572000,960.13934,12.064026
137692000,960.10016,12.063141
137788000,960.0899,12.062439
137884000,960.0867,12.061768
137980000,960.0784,12.061127
138076000,960.07367,12.060516
138196000,960.0671,12.059814
138292000,960.0295,12.059296
138388000,960.00653,12.058838
138488000,960.01904,12.058411
138584000,960.0329,12.058044
138680000,960.0081,12.057709
138796000,960.0082,12.057373
138892000,960.0159,12.057159
138988000,960.019,12.056976
139084000,960.0056,12.056854
139180000,959.98834,12.056763
139276000,959.9949,12.056732
139396000,959.9923,12.056702
139492000,959.97784,12.056763
139588000,959.99115,12.056824
139688000,959.99445,12.056885
139780000,960.0066,12.057007
139876000,959.996,12.057129
139996000,960.0098,12.057312
140092000,959.98615,12.057495
140188000,960.01086,12.057648
140284000,959.99915,12.057831
140380000,960.0158,12.058014
140476000,960.00574,12.058197
140596000,960.0157,12.058441
140696000,960.0233,12.058624
140788000,960.0358,12.058807
140884000,960.02545,12.0589905
140980000,960.02704,12.059174
141080000,960.04865,12.059326
141196000,960.052,12.05954
141292000,960.0336,12.059692
141392000,960.0305,12.059845
141484000,960.0434,12.059967
141580000,960.0361,12.06012
141676000,960.0805,12.060211
141772000,960.04584,12.060333
141892000,960.0746,12.060455
141988000,960.05725,12.060577
142084000,960.0674,12.060638
142180000,960.06,12.06073
142276000,960.06757,12.060822
142396000,960.06287,12.060883
142492000,960.0947,12.060944
142588000,960.08124,12.061005
142684000,960.07214,12.061066
142780000,960.06586,12.061127
142876000,960.0489,12.061188
142996000,960.0615,12.061279
143092000,960.0765,12.06134
143192000,960.0917,12.061401
143284000,960.07574,12.061493
143380000,960.088,12.061584
143476000,960.0899,12.061676
143572000,960.0656,12.061798
143692000,960.0815,12.061981
143788000,960.10077,12.062134
143884000,960.10046,12.062317
143980000,960.1109,12.0625
144076000,960.10504,12.062714
144196000,960.1151,12.063019
144292000,960.1131,12.063293
144388000,960.1213,12.063599
144484000,960.1289,12.063904
144584000,960.136,12.0642395
144680000,960.12756,12.064606
144796000,960.14294,12.065094
144892000,960.15094,12.065521
144988000,960.1455,12.065979
145088000,960.16693,12.066467
145184000,960.18005,12.066956
145276000,960.18585,12.067505
145396000,960.20245,12.068207
145492000,960.22015,12.068787
145588000,960.2247,12.069397
145684000,960.21844,12.070007
145780000,960.2645,12.070587
145880000,960.24756,12.071106
145972000,960.2575,12.071472
146092000,960.2669,12.071716
146188000,960.2612,12.071747
146284000,960.2564,12.071625
146384000,960.2403,12.071442
146476000,960.2289,12.071167
146572000,960.24066,12.070831
146692000,960.2228,12.070374
146788000,960.2275,12.069946
146884000,960.21826,12.069519
146984000,960.20593,12.069092
147076000,960.19763,12.068634
147172000,960.18335,12.068176
147292000,960.1797,12.067657
147392000,960.18317,12.06723
147484000,960.1706,12.066864
147580000,960.165,12.066498
147676000,960.166,12.066193
147796000,960.14276,12.065857
147892000,960.16754,12.065643
147988000,960.1566,12.06546
148084000,960.1419,12.065369
148180000,960.143,12.065308
148280000,960.1479,12.065308
148396000,960.1582,12.065369
148492000,960.14044,12.065491
148588000,960.15295,12.065643
148684000,960.1401,12.065857
148780000,960.15796,12.066132
148880000,960.15155,12.066437
148996000,960.17554,12.066864
149092000,960.19,12.067261
149188000,960.1804,12.0677185
149284000,960.194,12.068176
149380000,960.2034,12.068665
149476000,960.2267,12.069183
149596000,960.2234,12.069885
149696000,960.22504,12.070465
149788000,960.25037,12.071045
149884000,960.25684,12.071655
149980000,960.26013,12.072296
150076000,960.26324,12.072937
150196000,960.2975,12.073761
150292000,960.33105,12.074432
150388000,960.315,12.075104
150484000,960.31464,12.075775
150584000,960.34235,12.076477
150676000,960.3659,12.077148
150796000,960.36975,12.078033
150892000,960.3801,12.078705
150988000,960.4028,12.079407
151084000,960.39966,12.080078
151180000,960.41034,12.0807495
151276000,960.4371,12.081421
151396000,960.4368,12.082245
151492000,960.44055,12.082886
151588000,960.47186,12.083496
151684000,960.4771,12.084076
151780000,960.49176,12.084595
151880000,960.5057,12.085114
151996000,960.49384,12.085663
152092000,960.5001,12.086029
152192000,960.51715,12.086334
152284000,960.5187,12.086548
152380000,960.5183,12.0867
152476000,960.5067,12.086761
152596000,960.5188,12.086731
152692000,960.5316,12.086609
152792000,960.51624,12.086395
152888000,960.4999,12.086121
152980000,960.5062,12.085754
153080000,960.50116,12.085327
153196000,960.4836,12.084686
153292000,960.46326,12.084106
153388000,960.483,12.083466
153484000,960.4532,12.082794
153580000,960.43787,12.082062
153680000,960.4479,12.081329
153796000,960.4166,12.080383
153892000,960.38403,12.07959
153988000,960.3942,12.078796
154084000,960.35223,12.078003
154180000,960.3613,12.077209
154276000,960.32623,12.076447
154372000,960.3363,12.075684
154492000,960.3126,12.074768
154588000,960.3015,12.074066
154684000,960.2794,12.073364
154780000,960.2774,12.072723
154876000,960.27203,12.072113
154996000,960.2462,12.071381
155096000,960.2364,12.070801
155188000,960.2291,12.070282
155284000,960.2239,12.069794
155380000,960.20514,12.069336
155480000,960.2058,12.068909
155596000,960.19653,12.06839
155692000,960.1978,12.068024
155788000,960.17395,12.067688
155884000,960.1722,12.067383
155980000,960.17505,12.067078
156076000,960.1607,12.0668335
156172000,960.1675,12.066589
156296000,960.1617,12.066315
156388000,960.1535,12.066101
156484000,960.15625,12.0659485
156580000,960.1519,12.065765
156676000,960.14996,12.065643
156796000,960.15826,12.065491
156892000,960.15045,12.065369
156988000,960.1348,12.065277
157084000,960.14636,12.065186
157180000,960.13855,12.065094
157276000,960.1482,12.065033
157396000,960.15546,12.064972
157492000,960.13116,12.064911
157588000,960.1342,12.06488
