timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
44080000,0.0063262,0.07138724,1.5707964,1.5707873,0,137.08273,46.7133
44560000,0.014045845,0.071858145,1.5798967,1.5740699,-0.424175,129.21452,46.611366
45064000,0.008964015,0.07181189,1.5799241,1.574291,-0.424175,120.978455,46.471436
45568000,0.004477558,0.07129401,1.5799404,1.5745548,-0.424175,112.76379,46.38864
46072000,0.001604616,0.07207206,1.5799544,1.5748485,-0.424175,104.564995,46.317947
46576000,-0.000449622,0.07227502,1.5799733,1.575192,-0.424175,96.38024,46.222385
47080000,-0.012710795,0.07229541,1.5707964,1.5707905,0,88.21244,46.121353
47584000,-0.009793997,0.071916945,1.5707964,1.5707911,0,80.069565,46.03234
48064000,-0.005496604,0.07212907,1.5707964,1.5707916,0,72.32259,45.985233
48568000,-0.002155043,0.07247384,1.5707964,1.5707921,0,64.204025,45.889484
49072000,0.000665496,0.07195199,1.5707964,1.5707927,0,56.100407,45.806435
49576000,0.013267607,0.07149617,1.58007,1.5795969,-0.424175,48.018017,45.740288
50080000,0.5407262,0.050693456,2.3450658,2.99472,40.034264,295.70633,45.604496
50560000,0.7994342,0.09528284,2.4555357,3.0218637,31.900982,294.39404,51.055145
51064000,0.82488513,0.09616054,2.6762397,3.0523264,22.80059,292.0063,51.96637
51568000,0.7749099,0.02029034,2.84128,3.0805407,14.37486,288.05624,50.409657
52072000,0.6720705,-0.04376273,2.9691854,3.103582,7.5956297,282.69717,47.303936
52576000,0.6545778,-0.099201664,3.086612,3.1227317,2.1326535,276.38733,48.659237
53080000,0.55753785,-0.11700059,-3.108968,3.1379666,-2.0235171,269.27005,46.252552
53560000,0.457816,-0.14847362,-3.0438428,-3.1341414,-4.872882,262.21686,44.83971
54064000,0.35289338,-0.1775836,-2.9994318,-3.1262438,-6.740962,254.61192,44.145226
54568000,0.3219708,-0.15532929,-2.9849901,-3.12046,-7.9532776,246.3347,47.637085
55072000,0.18928315,-0.19131638,-2.9789324,-3.1183393,-8.184305,237.96153,47.328568
55576000,0.07460125,-0.17486207,-2.9946938,-3.120316,-7.4387746,229.60577,47.26624
56080000,-0.020848213,-0.21085833,-3.0180964,-3.123951,-6.3724484,221.26714,47.474663
56560000,-0.06962183,-0.1747141,-3.0413606,-3.127861,-5.3061213,213.31938,47.74249
57064000,-0.100480035,-0.20730457,-3.0713744,-3.1336477,-3.9095504,204.92401,48.107456
57568000,-0.11170824,-0.17808492,-3.1007674,-3.139935,-2.5129786,196.48512,48.381935
58072000,-0.09777879,-0.20514703,-3.1230917,3.1381276,-1.441927,187.9725,48.656036
58576000,0.14086589,-0.1984565,-3.121224,3.1397696,-1.6635079,178.78978,52.806282
59080000,0.14021903,-0.17456861,-3.1105661,-3.139674,-2.215333,169.51842,52.555027
59560000,0.1266478,-0.19885282,-3.1057527,-3.1375425,-2.4416378,160.7687,51.99258
60064000,0.0908883,-0.20038457,-3.1009386,-3.1351612,-2.6679435,151.65056,51.535145
60568000,0.25151163,-0.20881547,-3.1005433,-3.132456,-2.889524,142.47081,55.392883
