timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
20264000,39.8714137,32.7364368,-6.8235903,178.859,-40.302605,1.0712198,19.507654,-4.7617173,-0.38956335,-0.13650976,0.1784088,40.458275
20360000,39.8714137,32.7364368,-6.730229,180.73329,-40.755585,1.0323452,19.49775,-4.743245,-0.400504,-0.059411626,0.20482111,40.911255
20464000,39.8714137,32.7364368,-6.63385,182.76201,-41.242928,0.991151,19.485102,-4.722757,-0.3322967,-0.13024499,0.07954705,41.398598
20560000,39.8714137,32.7364368,-6.547961,184.63287,-41.690903,0.95697844,19.471256,-4.707628,-0.2898501,-0.1583076,0.09037367,41.846573
20664000,39.8714137,32.7364368,-6.4582906,186.658,-42.174152,0.922198,19.45558,-4.693264,-0.22077812,-0.13243243,0.106071115,42.329823
20760000,39.8714137,32.7364368,-6.378664,188.52477,-42.61741,0.89154226,19.439968,-4.6750693,-0.2533327,-0.11876318,0.12905894,42.77308
20864000,39.8714137,32.7364368,-6.2977037,190.5445,-43.094692,0.8578185,19.424484,-4.6557264,-0.21733859,-0.109985694,0.14077312,43.250362
20960000,39.8714137,32.7364368,-6.225242,192.40865,-43.534863,0.82947385,19.408981,-4.6432233,-0.2465,-0.11665583,0.15497206,43.690533
21064000,39.8714137,32.7364368,-6.1508784,194.42883,-44.01274,0.8016738,19.394672,-4.6277266,-0.26269132,-0.12569036,0.11235847,44.16841
21160000,39.8714137,32.7364368,-6.0831184,196.29169,-44.45287,0.7794593,19.381397,-4.6123624,-0.20564145,-0.083947785,0.11363904,44.60854
21264000,39.8714137,32.7364368,-6.0132914,198.30891,-44.92788,0.7536342,19.36783,-4.5993958,-0.22408663,-0.20867398,0.12303702,45.08355
21360000,39.8714137,32.7364368,-5.949706,200.16928,-45.36521,0.7337259,19.3545,-4.5882473,-0.10857654,-0.14523299,0.1039775,45.52088
21464000,39.8714137,32.7364368,-5.884159,202.18433,-45.83754,0.7135716,19.339901,-4.576564,-0.15162638,-0.24738906,0.10721105,45.99321
21560000,39.8714137,32.7364368,-5.8235354,204.04155,-46.273354,0.6964569,19.326498,-4.5655537,-0.14411359,-0.13064826,0.07911957,46.429024
21664000,39.8714137,32.7364368,-5.761795,206.05008,-46.744133,0.67774546,19.311014,-4.556029,-0.18269046,-0.12725335,0.068187706,46.899803
21760000,39.8714137,32.7364368,-5.7046075,207.90315,-47.177044,0.66262376,19.293863,-4.54809,-0.101223655,-0.19675538,0.05488656,47.332714
21864000,39.8714137,32.7364368,-5.645913,209.913,-47.642826,0.647306,19.27634,-4.5397024,-0.08112137,-0.119142696,0.07203034,47.798496
21960000,39.8714137,32.7364368,-5.5907702,211.76546,-48.073578,0.6357932,19.260418,-4.534578,-0.16510229,-0.19065335,-0.04789326,48.229248
22064000,39.8714137,32.7364368,-5.534682,213.7721,-48.540615,0.6214721,19.242289,-4.530416,-0.10738065,-0.11198269,0.022136604,48.696285
22160000,39.8714137,32.7364368,-5.4817953,215.62132,-48.970337,0.6125952,19.225136,-4.524981,-0.04587409,-0.2305454,0.10475143,49.126007
22264000,39.8714137,32.7364368,-5.4274364,217.62341,-49.43565,0.5989522,19.207184,-4.5176716,-0.022232037,-0.13090134,0.06798561,49.59132
22360000,39.8714137,32.7364368,-5.375708,219.46849,-49.865433,0.5909484,19.188799,-4.51518,0.018834528,-0.18764496,0.023357568,50.021103
22464000,39.8714137,32.7364368,-5.324439,221.46693,-50.331112,0.5813978,19.170029,-4.5110917,-0.021033948,-0.11717085,-0.027666798,50.486782
22560000,39.8714137,32.7364368,-5.2753754,223.30844,-50.761486,0.57163036,19.151634,-4.5086617,-0.031534713,-0.16939336,0.0557946,50.917156
22664000,39.8714137,32.7364368,-5.2255993,225.3085,-51.227905,0.56176674,19.135235,-4.502284,0.023671439,-0.08099712,0.09840726,51.383575
22760000,39.8714137,32.7364368,-5.17774,227.15059,-51.65751,0.55583394,19.121866,-4.49744,-0.033261165,-0.1776663,0.008975155,51.81318
22864000,39.8714137,32.7364368,-5.1287403,229.14725,-52.121964,0.55018556,19.099766,-4.4966617,-0.026449341,-0.5155873,0.009923241,52.277634
22960000,39.8714137,32.7364368,-5.0819283,230.98242,-52.5487,0.5423992,18.991827,-4.466798,-0.13912645,-1.6590376,0.65668386,52.70437
23064000,39.8714137,32.7364368,-5.0341005,232.95724,-53.003956,0.52906364,18.794083,-4.3550644,-0.13770945,-2.0678425,1.4200526,53.159626
23160000,39.8714137,32.7364368,-4.9888883,234.75829,-53.41123,0.5193638,18.590067,-4.1749725,-0.016534409,-2.0877078,2.1949294,53.5669
23264000,39.8714137,32.7364368,-4.9421134,236.68724,-53.830482,0.51175123,18.378008,-3.9085526,-0.035287607,-2.0179415,2.8539186,53.986153
23360000,39.8714137,32.7364368,-4.8976417,238.44731,-54.19127,0.5105068,18.197468,-3.6086977,0.008559494,-1.8238101,3.3612897,54.34694
23464000,39.8714137,32.7364368,-4.8497386,240.34175,-54.54764,0.51101893,18.018,-3.2266183,0.05563884,-1.7745785,3.944731,54.703312
23560000,39.8714137,32.7364368,-4.8038626,242.07204,-54.8394,0.5139017,17.855278,-2.845493,0.107172824,-1.7025901,4.045709,54.99507
23664000,39.8714137,32.7364368,-4.7530055,243.93034,-55.113503,0.5225236,17.684254,-2.4378073,0.21203466,-1.6560785,3.82243,55.269173
23760000,39.8714137,32.7364368,-4.703956,245.62808,-55.32954,0.53516763,17.530745,-2.0858192,0.1842339,-1.5674405,3.4803317,55.48521
23864000,39.8714137,32.7364368,-4.648017,247.45366,-55.52626,0.5497108,17.37315,-1.7252642,0.22285399,-1.5321059,3.4026217,55.68193
23960000,39.8714137,32.7364368,-4.5941224,249.1226,-55.675167,0.5665643,17.234459,-1.4037623,0.18594727,-1.2951225,3.279242,55.830837
24064000,39.8714137,32.7364368,-4.532064,250.92181,-55.80119,0.59959686,17.256273,-1.0735911,0.29215947,1.4714204,2.945368,55.95686
24160000,39.8714137,32.7364368,-4.470395,252.5939,-55.888393,0.64845514,17.468878,-0.81313944,0.66700363,2.8626895,2.3573394,56.044064
