timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
22900000,-0.12077271,0.12424752,-0.2711843,-0.26106122,0.14851782,-10.86519
22904000,-0.1220188,0.12558906,-0.27254966,-0.34862688,0.17424083,-10.829561
22908000,-0.11919434,0.1290295,-0.27622718,-0.34141794,0.19735375,-10.873977
22916000,-0.118993804,0.13207145,-0.27115864,-0.2977348,0.16813304,-10.838433
22924000,-0.11958296,0.14053848,-0.27592418,-0.31393844,0.25378224,-10.868846
22928000,-0.12223044,0.13175529,-0.26989004,-0.3296743,0.20030077,-10.945987
22932000,-0.12374889,0.13429931,-0.26793882,-0.30751282,0.19871078,-10.932227
22936000,-0.113865554,0.13926505,-0.2718369,-0.31593445,0.17433189,-10.955116
22944000,-0.11227163,0.132299,-0.27264586,-0.29480103,0.22990789,-10.914029
22952000,-0.110277005,0.13619252,-0.27007046,-0.38437197,0.17000659,-10.957788
22960000,-0.10702859,0.13900457,-0.2792472,-0.27166915,0.16917166,-10.993073
22968000,-0.11332193,0.13731939,-0.2753864,-0.37717953,0.19931984,-11.033389
22972000,-0.11242451,0.14229986,-0.27465266,-0.3087634,0.17209375,-10.966202
22976000,-0.1054019,0.14046845,-0.2730458,-0.3307013,0.14145526,-10.995477
22980000,-0.101768725,0.13481003,-0.27223188,-0.33945012,0.156681,-11.051938
22984000,-0.10239207,0.14159814,-0.27468702,-0.2805311,0.250828,-11.069929
22988000,-0.10566882,0.14309916,-0.27565286,-0.2628747,0.2258099,-11.032574
22996000,-0.11114593,0.14167918,-0.2729619,-0.24084002,0.16220714,-11.060625
23004000,-0.10438361,0.14574215,-0.2780197,-0.3372404,0.14359616,-11.147978
23008000,-0.103235506,0.14606409,-0.27473968,-0.32217348,0.17010467,-11.064989
23012000,-0.102744415,0.14995113,-0.27392182,-0.27595156,0.20667389,-11.019478
23016000,-0.09998166,0.14532119,-0.2779585,-0.27715686,0.18839192,-11.037448
23020000,-0.10333897,0.14414798,-0.27471328,-0.29341596,0.1704933,-11.125258
23028000,-0.09056555,0.1407093,-0.2697168,-0.33308116,0.24898088,-11.118699
23032000,-0.09104953,0.14681892,-0.27324995,-0.3763952,0.22576973,-11.167491
