timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
85012000,0.058780383,-0.017954078,-0.13149099,2.2480845,-0.36652738,-8.682729
85016000,0.055486277,-0.015020923,-0.1292632,2.2784493,-0.27183864,-8.672893
85020000,0.056150574,-0.016763506,-0.13307208,2.3049102,-0.2475463,-8.756271
85028000,0.058373075,-0.022358233,-0.13257873,2.292588,-0.20584306,-8.684508
85032000,0.055704534,-0.021772638,-0.13603461,2.328637,-0.28282988,-8.734689
85036000,0.061374005,-0.015227472,-0.13812044,2.2924764,-0.39061928,-8.699795
85040000,0.06457012,-0.015111827,-0.13589706,2.2233143,-0.3446087,-8.735223
85048000,0.058686208,-0.01459534,-0.13132589,2.2368903,-0.31027654,-8.742443
85052000,0.05880531,-0.017648349,-0.12788367,2.1980877,-0.34561893,-8.80199
85056000,0.057686597,-0.019261736,-0.1295062,2.2573895,-0.3161102,-8.776002
85060000,0.058231585,-0.011260634,-0.13169608,2.2837076,-0.27805454,-8.718794
85064000,0.06065751,-0.012317859,-0.13288523,2.2507837,-0.32633305,-8.741598
85068000,0.060033683,-0.019124268,-0.13054821,2.2719862,-0.25995415,-8.755831
85076000,0.06060689,-0.018493885,-0.1306471,2.2210968,-0.31254584,-8.7419405
85084000,0.05534485,-0.018386114,-0.13132153,2.2583933,-0.30086777,-8.898573
85088000,0.06259687,-0.012858353,-0.130485,2.2592516,-0.32699558,-8.824825
85092000,0.067377076,-0.012254389,-0.13119537,2.2099311,-0.28807858,-8.830553
85096000,0.06403065,-0.013905593,-0.13249879,2.2198913,-0.24821277,-8.808277
85100000,0.061220597,-0.018100075,-0.12637801,2.2440374,-0.29483137,-8.834755
85104000,0.057185654,-0.015210428,-0.12510955,2.251173,-0.26059228,-8.8644495
85108000,0.059928723,-0.005844832,-0.12349342,2.2188077,-0.21487887,-8.863602
85112000,0.06308399,-0.008361449,-0.12031596,2.1734715,-0.18317607,-8.85674
85120000,0.06486353,-0.007005655,-0.12505133,2.1618996,-0.25081035,-8.949236
85128000,0.06068808,-0.013673307,-0.12891686,2.178644,-0.25432807,-8.8642
85132000,0.06478999,-0.006374042,-0.12606598,2.1272051,-0.23161246,-8.863736
85136000,0.06637225,-0.009604714,-0.12212209,2.1585882,-0.24172595,-8.91289
85140000,0.06460921,-0.013795709,-0.12078583,2.1731975,-0.19159843,-8.946773
85148000,0.068114,-0.007315416,-0.1185899,2.2742865,-0.2882557,-8.865836
85152000,0.061668433,-0.011707912,-0.12360846,2.2266543,-0.2224182,-8.857179
85156000,0.06611058,-0.011640287,-0.12733498,2.1603525,-0.15634508,-8.893997
85164000,0.06789058,-0.003010348,-0.1218084,2.2258284,-0.17307779,-8.94898
85168000,0.06569362,-0.000823559,-0.12134927,2.176426,-0.2122484,-8.928814
85172000,0.067451976,-0.006074621,-0.11752521,2.1942954,-0.16172022,-8.887031
85176000,0.0641783,-0.006256856,-0.12078007,2.223312,-0.1783806,-8.899923
85180000,0.06492468,-0.006370242,-0.11795648,2.2352395,-0.26905042,-8.919699
