timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
191232000,191232000,-0.011194104,0.01802311,-0.07782636,0,0,0,0,0
191236000,191236000,-0.010600103,0.013114395,-0.07805387,0,0,0,0,0
191240000,191240000,-0.010431263,0.013043765,-0.07808459,0,0,0,0,0
191244000,191244000,-0.010626994,0.012990009,-0.07818337,0,0,0,0,0
191248000,191248000,-0.010875365,0.012959943,-0.078304864,0,0,0,0,0
191252000,191252000,-0.010876499,0.012896854,-0.07838808,0,0,0,0,0
191256000,191256000,-0.010705195,0.012825107,-0.078470156,0,0,0,0,0
191260000,191260000,-0.010569173,0.014360903,-0.07852915,0,0,0,0,0
191264000,191264000,-0.010531576,0.014315165,-0.07861171,0,0,0,0,0
191268000,191268000,-0.010445969,0.014267484,-0.07860081,0,0,0,0,0
191272000,191272000,-0.010251885,0.014220333,-0.07853936,0,0,0,0,0
191276000,191276000,-0.010160299,0.014117023,-0.07856562,0,0,0,0,0
191280000,191280000,-0.010264199,0.014020959,-0.07873632,0,0,0,0,0
191284000,191284000,-0.010392809,0.009394292,-0.07905904,0,0,0,0,0
191288000,191288000,-0.010453719,0.009375241,-0.07909684,0,0,0,0,0
191292000,191292000,-0.010338211,0.009461283,-0.077875294,0,0,0,0,0
191296000,191296000,-0.010183691,0.009417184,-0.07786619,0,0,0,0,0
191300000,191300000,-0.010241561,0.009439135,-0.07781078,0,0,0,0,0
191304000,191304000,-0.010397948,0.009490285,-0.07775164,0,0,0,0,0
191308000,191308000,-0.01065703,0.009809649,-0.07777103,0,0,0,0,0
191312000,191312000,-0.010394529,0.009750897,-0.07788556,0,0,0,0,0
191316000,191316000,-0.010069437,0.00963796,-0.078056544,0,0,0,0,0
191324000,191324000,-0.009466475,0.009544784,-0.07826881,0,0,0,0,0
191328000,191328000,-0.009205764,0.009458466,-0.078220166,0,0,0,0,0
191332000,191332000,-0.008841483,0.017390562,-0.07784516,0,0,0,0,0
191336000,191336000,-0.008834398,0.017342754,-0.07780933,0,0,0,0,0
191340000,191340000,-0.008860977,0.017310673,-0.07789407,0,0,0,0,0
191344000,191344000,-0.008373825,0.017257303,-0.07808095,0,0,0,0,0
191348000,191348000,-0.007712234,0.017237809,-0.07823175,0,0,0,0,0
191356000,191356000,-0.007280792,0.013776422,-0.07849252,0,0,0,0,0
191360000,191360000,-0.007231106,0.013745112,-0.07846819,0,0,0,0,0
191364000,191364000,-0.007464592,0.013677239,-0.07853247,0,0,0,0,0
191368000,191368000,-0.007803926,0.013589883,-0.07853864,0,0,0,0,0
191372000,191372000,-0.007655507,0.013551017,-0.07859218,0,0,0,0,0
191376000,191376000,-0.007460039,0.013518023,-0.07845515,0,0,0,0,0
191380000,191380000,-0.007263738,0.017081158,-0.0782971,0,0,0,0,0
191384000,191384000,-0.007399024,0.017097073,-0.07829805,0,0,0,0,0
191392000,191392000,-0.007774255,0.017165225,-0.079247676,0,0,0,0,0
191396000,191396000,-0.00800159,0.017198037,-0.07932312,0,0,0,0,0
191400000,191400000,-0.008489598,0.017111942,-0.07935219,0,0,0,0,0
191404000,191404000,-0.00859876,0.012041233,-0.07961663,0,0,0,0,0
191408000,191408000,-0.008333203,0.01194019,-0.079677716,0,0,0,0,0
191412000,191412000,-0.008050152,0.011898682,-0.079707034,0,0,0,0,0
191420000,191420000,-0.007612038,0.011912828,-0.07997745,0,0,0,0,0
191424000,191424000,-0.007516433,0.011902793,-0.07999677,0,0,0,0,0
191428000,191428000,-0.007719982,0.011809927,-0.07987354,0,0,0,0,0
191436000,191436000,-0.007407295,0.011595711,-0.07991459,0,0,0,0,0
191444000,191444000,-0.007374419,0.011569375,-0.07997339,0,0,0,0,0
191452000,191452000,-0.006862738,0.007096078,-0.0801749,0,0,0,0,0
191456000,191456000,-0.007204413,0.007200877,-0.08016798,0,0,0,0,0
191460000,191460000,-0.007150465,0.007100256,-0.08029086,0,0,0,0,0
191468000,191468000,-0.007407422,0.006768498,-0.08049705,0,0,0,0,0
191472000,191472000,-0.007003414,0.006662601,-0.080532394,0,0,0,0,0
191476000,191476000,-0.006521929,0.006256254,-0.08057294,0,0,0,0,0
191480000,191480000,-0.006425256,0.006175068,-0.08059053,0,0,0,0,0
191484000,191484000,-0.006109851,0.006209674,-0.08057259,0,0,0,0,0
191488000,191488000,-0.00577157,0.00635899,-0.080556944,0,0,0,0,0
191492000,191492000,-0.005670375,0.006487753,-0.08057588,0,0,0,0,0
191496000,191496000,-0.005701691,0.006529794,-0.080641,0,0,0,0,0
191500000,191500000,-0.005702108,0.014500954,-0.08031017,0,0,0,0,0
191504000,191504000,-0.006079648,0.014453471,-0.08033205,0,0,0,0,0
191508000,191508000,-0.006238654,0.014432198,-0.0803592,0,0,0,0,0
191512000,191512000,-0.006129216,0.014331535,-0.08034946,0,0,0,0,0
191516000,191516000,-0.005962409,0.014154,-0.08033292,0,0,0,0,0
