timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
196080000,0.033118412,-0.21610428,-1.6376535,0,0.68030596,-0.067506306,-0.08567732,-0.72476625,0
196104000,0.03217721,-0.22038521,-1.6381783,0,0.6799497,-0.06940556,-0.08676851,-0.72479135,0
196128000,0.03125122,-0.22255728,-1.6387032,0,0.6796577,-0.07053295,-0.087150045,-0.7249107,0
196152000,0.029572912,-0.22628574,-1.6397467,0,0.6790975,-0.07250465,-0.08776619,-0.72516674,0
196176000,0.040366005,-0.2297073,-1.6318719,0,0.6822187,-0.06971775,-0.093110114,-0.7218363,0
196200000,0.03945876,-0.22658595,-1.6323972,0,0.6820967,-0.06891976,-0.091704935,-0.722208,0
196224000,0.037751283,-0.2287294,-1.6334423,0,0.68159145,-0.070327215,-0.09177914,-0.7225399,0
196248000,0.03680917,-0.22016786,-1.6339661,0,0.6816399,-0.06756531,-0.08851577,-0.72316456,0
196272000,0.035825945,-0.22442622,-1.6344903,0,0.68128306,-0.069469295,-0.08958699,-0.7231884,0
196296000,0.034937967,-0.22448647,-1.6350147,0,0.6810606,-0.06981705,-0.089268036,-0.72340393,0
196320000,-0.002761148,-0.22807582,-1.6435266,0,0.6763924,-0.08426838,-0.07647917,-0.72769713,0
196344000,-0.040460262,-0.23004638,-1.6437657,0,0.6745056,-0.097725086,-0.063406,-0.729021,0
196368000,-0.05248713,-0.22065224,-1.6440065,0,0.67426705,-0.09837827,-0.05582237,-0.72977364,0
196392000,-0.07111156,-0.22220051,-1.6444927,0,0.67306584,-0.10522604,-0.049524326,-0.7303815,0
196416000,-0.080732524,-0.21997942,-1.6447383,0,0.67257816,-0.10766345,-0.04524284,-0.73075324,0
196440000,-0.090972334,-0.22409716,-1.6406361,0,0.6732926,-0.112508096,-0.043130312,-0.7294921,0
196464000,-0.10949872,-0.22667347,-1.6411065,0,0.6718999,-0.119678095,-0.037220392,-0.7299604,0
196488000,-0.11897921,-0.23019917,-1.6413441,0,0.6710254,-0.12413663,-0.034945797,-0.7301326,0
196512000,-0.12842624,-0.23288484,-1.6415832,0,0.6701762,-0.12827575,-0.03239602,-0.7303148,0
196536000,-0.13783678,-0.22351256,-1.641824,0,0.67007464,-0.12805744,-0.025751084,-0.73071074,0
196560000,-0.15607294,-0.22483352,-1.6423105,0,0.6686137,-0.13464145,-0.019504845,-0.7310588,0
196584000,-0.16538122,-0.22276354,-1.6425562,0,0.6680306,-0.13700998,-0.015379977,-0.7312501,0
196608000,-0.17452799,-0.22666585,-1.6428037,0,0.66703445,-0.14146623,-0.013347872,-0.731351,0
196632000,-0.19264105,-0.22904325,-1.6433038,0,0.6653682,-0.14835498,-0.007497102,-0.7315872,0
196656000,-0.20186482,-0.23239598,-1.6435564,0,0.6643309,-0.15262261,-0.005246252,-0.7316716,0
196680000,-0.21099472,-0.23496918,-1.6438107,0,0.6633341,-0.15657386,-0.002763093,-0.73175466,0
196704000,-0.22880796,-0.22561824,-1.6443249,0,0.6624768,-0.159136,0.006981656,-0.73195046,0
196728000,-0.23849428,-0.22694136,-1.6399881,0,0.66317606,-0.16283616,0.009722695,-0.73047066,0
