timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
4336000,792000,47.3977419,8.545594,0.0008383321,0.033334363,-0.12800793,-2.0489163e-06,7.104236e-07,0.0,0.005351505,0.066738605,-0.14180946,-0.025867645,-0.00051222905,0.00017760589,0.0,-0.06390275,0.033985008,-0.097627744,1.6331209,488.1152,0.14344564,0.1091469,0.23872334,0.19443065,0.25644118,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4432000,792000,47.3977419,8.545594,0.00013696411,0.032488834,-0.12455308,-2.0489163e-06,7.104236e-07,0.0,0.0027205804,0.061226644,-0.13632227,-0.017650342,-0.00051222905,0.00017760589,0.0,0.0175069,0.021937156,-0.10539218,1.6334026,488.1152,0.14176178,0.10883163,0.23829132,0.19302891,0.25309986,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4536000,792000,47.3977419,8.545594,-0.0004946447,0.03118688,-0.12141261,-2.0489163e-06,7.104236e-07,0.0,0.0033753905,0.058051407,-0.12880524,-0.008868639,-0.00051222905,0.00017760589,0.0,0.020850055,0.02339779,-0.102791,1.633614,488.1152,0.1379574,0.108520456,0.23773937,0.19159597,0.24924389,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4632000,792000,47.3977419,8.545594,-0.0010188554,0.029822173,-0.1175894,-2.0489163e-06,7.104236e-07,0.0,0.0010995058,0.055808388,-0.12157828,-0.00030399044,-0.00051222905,0.00017760589,0.0,0.017960627,0.0154940635,-0.006092712,1.633655,488.1152,0.1380848,0.10825763,0.23714861,0.19026023,0.24549855,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4736000,792000,47.3977419,8.545594,-0.0015374535,0.028237242,-0.113011755,-2.0489163e-06,7.104236e-07,0.0,0.00017252445,0.053894382,-0.11547793,0.00686623,-0.00051222905,0.00017760589,0.0,-0.021720363,0.06319015,-0.087671906,1.6337639,488.1152,0.13300416,0.107987545,0.23641972,0.18872556,0.24127564,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4832000,792000,47.3977419,8.545594,-0.0021447665,0.026632193,-0.10775943,-2.0489163e-06,7.104236e-07,0.0,-0.0030283693,0.049893938,-0.10819534,0.015578639,-0.00051222905,0.00017760589,0.0,-0.047201607,-0.027025029,0.0007664784,1.6338866,488.1152,0.13337186,0.10774436,0.23566641,0.18728177,0.23725587,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
4936000,792000,47.3977419,8.545594,-0.00293981,0.024834434,-0.10147851,-2.0489163e-06,7.104236e-07,0.0,-0.0048469533,0.048328336,-0.09677345,0.027909875,-0.00051222905,0.00017760589,0.0,-0.09315651,0.016901758,0.023873521,1.6338792,488.1152,0.12526876,0.10748276,0.23476689,0.18566297,0.23280287,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,1
5040000,792000,47.3977419,8.545594,0.0,0.0,-0.09611906,-2.0489163e-06,7.104236e-07,0.0,-0.009267301,0.0443683,-0.091602065,0.032175373,-0.00051222905,0.00017760589,0.0,-0.041350093,0.035262637,-0.09477324,1.6338128,488.1152,0.12359071,0.10721568,0.23378621,0.18382943,0.2282797,inf,inf,inf,inf,0,1,0,1,1,0,1,1,1,1,1
5136000,792000,47.3977419,8.545594,0.0,0.0,-0.09083107,-2.0489163e-06,7.104236e-07,0.0,-0.011849009,0.042739373,-0.08423797,0.038758453,-0.00051222905,0.00017760589,0.0,-0.0022172024,0.09066902,0.016449949,1.6336232,488.1152,0.121330515,0.10695462,0.23281474,0.18205933,0.22406861,inf,inf,inf,inf,0,1,0,1,1,0,1,1,1,1,1
5232000,792000,47.3977419,8.545594,0.0,0.0,-0.08649279,-2.0489163e-06,7.104236e-07,0.0,-0.015621739,0.040669516,-0.07823399,0.042543795,-0.00051222905,0.00017760589,0.0,-0.014930409,-0.031388596,-0.0072354446,1.6333203,488.1152,0.11443919,0.1066801,0.2317857,0.180267,0.21984476,inf,inf,inf,inf,0,1,0,1,1,0,1,1,1,1,1
