timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
18936000,47.39760949373315,8.547407317377218,515.4898,26.858398,-0.0,-0.25633952,20.540087,-4.9589005,1.5626376,1.0942982,1.0132463,0.0,2,0,0,0
19136000,47.39760888521145,8.547462180897194,516.49664,27.844849,-0.0,-0.13291422,20.509567,-4.959002,1.5563165,1.0938462,1.0132105,0.0,2,0,0,0
19336000,47.3976084932849,8.547516915085563,517.5012,28.82904,-0.0,-0.026915947,20.472218,-4.9606166,1.5507596,1.0933632,1.0131726,0.0,2,0,0,0
19536000,47.397608279024624,8.547571514062529,518.5052,29.812622,-0.0,0.062059995,20.43423,-4.9669447,1.5457835,1.092905,1.0131329,0.0,2,0,0,0
19736000,47.397608224737716,8.54762595147378,519.50714,30.79419,-0.0,0.14060496,20.392986,-4.97002,1.5414106,1.0924186,1.0130916,0.0,2,0,0,0
19936000,47.39760829235989,8.547680315706193,520.50555,31.772217,-0.0,0.20174482,20.350405,-4.964663,1.5379114,1.0919605,1.013049,0.0,2,0,0,0
20136000,47.397608456085294,8.547734550198955,521.5006,32.746887,-0.0,0.25241697,20.30715,-4.9563227,1.5349187,1.0914781,1.0130055,0.0,2,0,0,0
20336000,47.39760869285192,8.547788640760688,522.49396,33.71985,-0.0,0.29545477,20.263449,-4.9545093,1.5320526,1.0910251,1.0129617,0.0,2,0,0,0
20536000,47.397608994941784,8.547842548265447,523.4864,34.691895,-0.0,0.32811674,20.22082,-4.9474745,1.5297256,1.0905501,1.0129182,0.0,2,0,0,0
20736000,47.397609351675506,8.547896362317207,524.48,35.6651,-0.0,0.35683164,20.184233,-4.9357123,1.5275143,1.0901061,1.0128753,0.0,2,0,0,0
20936000,47.39760977329331,8.547950098729105,525.46783,36.63257,-0.0,0.38064876,20.153954,-4.919244,1.5257087,1.0896429,1.0128336,0.0,2,0,0,0
21136000,47.397610243131716,8.548003725470098,526.4491,37.593445,-0.0,0.40146166,20.115303,-4.9109845,1.5241284,1.0892117,1.0127934,0.0,2,0,0,0
21336000,47.39761075905627,8.548057193480894,527.42676,38.55072,-0.0,0.4163151,20.076307,-4.8972783,1.5227941,1.0887642,1.0127549,0.0,2,0,0,0
21536000,47.39761128913517,8.548110566618332,528.40063,39.50421,-0.0,0.42785934,20.038635,-4.8800945,1.521543,1.0883505,1.0127184,0.0,2,0,0,0
21736000,47.397611830924,8.548163854613112,529.3739,40.457092,-0.0,0.43857613,19.999546,-4.8739176,1.5202559,1.087923,1.0126841,0.0,2,0,0,0
21936000,47.397612377202364,8.54821701347368,530.3446,41.40741,-0.0,0.44594327,19.963724,-4.857903,1.5190319,1.0875304,1.0126522,0.0,2,0,0,0
22136000,47.39761294654796,8.548270017657698,531.309,42.35144,-0.0,0.45300618,19.920223,-4.846705,1.5178397,1.087127,1.0126224,0.0,2,0,0,0
22336000,47.397613538840076,8.54832290345292,532.2711,43.29315,-0.0,0.46105126,19.873304,-4.8353353,1.5170355,1.0867574,1.012595,0.0,2,0,0,0
22536000,47.39761413978072,8.54837570978177,533.23004,44.23169,-0.0,0.4702711,19.834064,-4.814681,1.5162416,1.0863794,1.0125699,0.0,2,0,0,0
22736000,47.39761474605198,8.548428391639234,534.18976,45.17102,-0.0,0.47835624,19.797182,-4.804075,1.5155256,1.0860354,1.012547,0.0,2,0,0,0
22936000,47.397615370064315,8.548480951053259,535.14795,46.108826,-0.0,0.48344272,19.762533,-4.7889094,1.5149316,1.085683,1.0125262,0.0,2,0,0,0
23136000,47.397616008301064,8.548533404849831,536.10114,47.041626,-0.0,0.4898451,19.72098,-4.781636,1.5142331,1.0853652,1.0125073,0.0,2,0,0,0
23336000,47.39761666181658,8.548585779991416,537.0487,47.96881,-0.0,0.49255976,19.680592,-4.7677217,1.5137805,1.0850368,1.0124903,0.0,2,0,0,0
23536000,47.39761732960826,8.548638048907458,537.99194,48.891663,-0.0,0.4941896,19.63615,-4.762474,1.5136772,1.0847433,1.012475,0.0,2,0,0,0
23736000,47.3976180172088,8.548690186663201,538.93427,49.81317,-0.0,0.4970578,19.596418,-4.7486897,1.5128295,1.0844386,1.0124613,0.0,2,0,0,0
23936000,47.397618707680664,8.548742154740017,539.8756,50.734528,-0.0,0.49462536,19.489937,-4.727499,1.5124109,1.0841677,1.0124491,0.0,2,0,0,0
24136000,47.397619384397004,8.548793538362439,540.7962,51.634735,-0.0,0.4781304,19.12641,-4.4863048,1.511187,1.0838865,1.0124383,0.0,2,0,0,0
24336000,47.39762004221537,8.548843938162689,541.6416,52.459747,-0.0,0.4735142,18.761477,-3.977068,1.5097619,1.0836333,1.0124302,0.0,2,0,0,0
24536000,47.39762072275658,8.548893449423828,542.3623,53.160065,-0.0,0.4825375,18.44987,-3.2747822,1.508449,1.0833534,1.0124258,0.0,2,0,0,0
24736000,47.39762146713605,8.54894213742581,542.9402,53.71756,-0.0,0.5025579,18.148123,-2.5753753,1.5059824,1.0830692,1.0124257,0.0,2,0,0,0
24936000,47.39762231515629,8.548990088532015,543.3887,54.14566,-0.0,0.5410349,17.861086,-1.9700683,1.5026746,1.0827382,1.0124303,0.0,2,0,0,0
25136000,47.39762328603751,8.549037332949908,543.7215,54.4581,-0.0,0.5918606,17.607344,-1.4212477,1.498742,1.0824064,1.0124407,0.0,2,0,0,0
25336000,47.39762440421362,8.549083924403414,543.9499,54.666107,-0.0,0.656475,17.391811,-0.93363494,1.4947509,1.0820459,1.0124567,0.0,2,0,0,0
25536000,47.39762566937384,8.549129956348896,544.0893,54.785126,-0.0,0.72197014,17.201439,-0.5166793,1.4903364,1.0817039,1.0124784,0.0,2,0,0,0
25736000,47.397627072182466,8.549175589343943,544.15063,54.82608,-0.0,0.7932222,17.042631,-0.15962757,1.4856732,1.0813471,1.012505,0.0,2,0,0,0
25936000,47.39762863695549,8.54922079663091,544.1467,54.80179,-0.0,0.8655864,16.904577,0.13354236,1.4814684,1.0810205,1.0125362,0.0,2,0,0,0
26136000,47.39763032888675,8.549265666595677,544.09235,54.72702,-0.0,0.9355652,16.78827,0.3660194,1.4771172,1.0904531,1.0126748,0.0,2,0,0,0
26336000,47.39763217620161,8.549310218296641,543.9953,54.60959,-0.0,1.0031176,16.69543,0.55337006,1.4732853,1.090083,1.0127139,0.0,2,0,0,0
26536000,47.397634160841605,8.549354607425387,543.8642,54.4581,-0.0,1.0663371,16.614717,0.70294976,1.4695128,1.0897588,1.0127543,0.0,2,0,0,0
26736000,47.39763624683806,8.54939879221837,543.70984,54.283356,-0.0,1.1191522,16.551092,0.81723773,1.4666106,1.0894412,1.0127947,0.0,2,0,0,0
26936000,47.39763841278184,8.54944283714069,543.53754,54.090668,-0.0,1.16261,16.495033,0.9047546,1.4642328,1.0891706,1.0128343,0.0,2,0,0,0
27136000,47.3976406655686,8.549486745842085,543.35126,53.884003,-0.0,1.2009817,16.457348,0.96948045,1.462405,1.0888995,1.0128717,0.0,2,0,0,0
27336000,47.39764296953333,8.549530624142363,543.15466,53.667023,-0.0,1.2273954,16.42821,1.0092278,1.4608604,1.0886749,1.0129062,0.0,2,0,0,0
27536000,47.39764530871675,8.54957442338652,542.9512,53.443146,-0.0,1.2470769,16.408545,1.0390757,1.4600774,1.088447,1.012937,0.0,2,0,0,0
27736000,47.39764765659902,8.54961817357586,542.74493,53.216522,-0.0,1.256284,16.394566,1.0523078,1.4598889,1.0882623,1.0129635,0.0,2,0,0,0
27936000,47.397649993875405,8.549661842678407,542.53784,52.989044,-0.0,1.2568365,16.381441,1.0547459,1.4601402,1.0880706,1.0129853,0.0,2,0,0,0
28136000,47.397652322823,8.549705553545468,542.3292,52.76004,-0.0,1.2456522,16.37688,1.0512735,1.4611552,1.0879192,1.0130029,0.0,2,0,0,0
28336000,47.39765461141092,8.549749229139113,542.1237,52.53415,-0.0,1.232847,16.37945,1.0387901,1.4622551,1.0877566,1.0130157,0.0,2,0,0,0
28536000,47.3976568542601,8.549792913652796,541.92065,52.3107,-0.0,1.2105582,16.38338,1.0234238,1.4638299,1.087631,1.0130244,0.0,2,0,0,0
28736000,47.39765904166319,8.549836568567926,541.7214,52.11142,-0.0,1.1834943,16.387098,1.006269,1.4660083,1.0874896,1.0130287,0.0,2,0,0,0
28936000,47.39766115976601,8.549880275378575,541.5277,51.89737,-0.0,1.1459496,16.396599,0.98010737,1.4680804,1.0873815,1.0130298,0.0,2,0,0,0
29136000,47.397663187436386,8.549924017459409,541.3406,51.68985,-0.0,1.1060997,16.4078,0.95414627,1.4707057,1.087257,1.0130274,0.0,2,0,0,0
29336000,47.39766511790814,8.549967774131726,541.1565,51.485382,-0.0,1.0609645,16.416704,0.92799366,1.4732461,1.0871552,1.0130225,0.0,2,0,0,0
29536000,47.39766695095955,8.550011510932059,540.9773,51.285797,-0.0,1.0157795,16.42368,0.9014652,1.4758534,1.0870367,1.0130154,0.0,2,0,0,0
29736000,47.39766868394612,8.550055303273544,540.80194,51.090057,-0.0,0.96631134,16.432812,0.87019926,1.4783514,1.0869371,1.0130067,0.0,2,0,0,0
29936000,47.39767031601492,8.550099139803283,540.63513,50.902863,-0.0,0.91937685,16.474472,0.84175825,1.4813038,1.0868176,1.0129968,0.0,2,0,0,0
30136000,47.39767189971545,8.55014386791509,540.47784,50.72519,-0.0,0.91259074,17.146486,0.7259773,1.4864231,1.0867143,1.0129857,0.0,2,0,0,0
30336000,47.39767344505089,8.550190785048349,540.3867,50.613678,-0.0,0.88671714,18.065659,0.14417185,1.4918925,1.0866028,1.012963,0.0,2,0,0,0
30536000,47.397674851482165,8.550239928090193,540.4536,50.660187,-0.0,0.7994694,18.770395,-0.80514413,1.4976583,1.0865657,1.0129228,0.0,2,0,0,0
30736000,47.397675980603076,8.55029052545755,540.717,50.903168,-0.0,0.6459039,19.167301,-1.762843,1.5079772,1.0865775,1.0128754,0.0,2,0,0,0
