timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1608000,0.70711,9.427351e-05,-9.4261704e-05,0.70711,0.0,0.0,0.0,0.0,0
1616000,0.70711,9.4269024e-05,-9.4257215e-05,0.70711,0.0,0.0,0.0,0.0,0
1628000,0.70711,9.425137e-05,-9.42614e-05,0.70711,0.0,0.0,0.0,0.0,0
1644000,0.70711,9.4242394e-05,-9.425242e-05,0.70711,0.0,0.0,0.0,0.0,0
1656000,0.70711,9.4246585e-05,-9.423477e-05,0.70711,0.0,0.0,0.0,0.0,0
1668000,0.70711,9.4228926e-05,-9.423896e-05,0.70711,0.0,0.0,0.0,0.0,0
1680000,0.70711,9.423312e-05,-9.42213e-05,0.70711,0.0,0.0,0.0,0.0,0
1692000,0.70711,9.421546e-05,-9.422549e-05,0.70711,0.0,0.0,0.0,0.0,0
1704000,0.70711,9.421965e-05,-9.420784e-05,0.70711,0.0,0.0,0.0,0.0,0
1716000,0.70711,9.4202e-05,-9.4212024e-05,0.70711,0.0,0.0,0.0,0.0,0
1728000,0.70711,9.420618e-05,-9.419437e-05,0.70711,0.0,0.0,0.0,0.0,0
1740000,0.70711,9.418853e-05,-9.4198556e-05,0.70711,0.0,0.0,0.0,0.0,0
1752000,0.70711,9.4192714e-05,-9.4180905e-05,0.70711,0.0,0.0,0.0,0.0,0
1764000,0.70711,9.417506e-05,-9.418509e-05,0.70711,0.0,0.0,0.0,0.0,0
1776000,0.70711,9.4179246e-05,-9.416744e-05,0.70711,0.0,0.0,0.0,0.0,0
1788000,0.70711,9.4161594e-05,-9.417163e-05,0.70711,0.0,0.0,0.0,0.0,0
1800000,0.70711,9.4165785e-05,-9.415397e-05,0.70711,0.0,0.0,0.0,0.0,0
1812000,0.70711,9.414813e-05,-9.415816e-05,0.70711,0.0,0.0,0.0,0.0,0
1820000,0.70711,9.414364e-05,-9.415367e-05,0.70711,0.0,0.0,0.0,0.0,0
1836000,0.70711,9.413466e-05,-9.414469e-05,0.70711,0.0,0.0,0.0,0.0,0
1848000,0.70711,9.413885e-05,-9.412704e-05,0.70711,0.0,0.0,0.0,0.0,0
1860000,0.70711,9.41212e-05,-9.4131225e-05,0.70711,0.0,0.0,0.0,0.0,0
1872000,0.70711,9.412538e-05,-9.411357e-05,0.70711,0.0,0.0,0.0,0.0,0
1884000,0.70711,9.410773e-05,-9.411776e-05,0.70711,0.0,0.0,0.0,0.0,0
1896000,0.70711,9.4111914e-05,-9.4100105e-05,0.70711,0.0,0.0,0.0,0.0,0
1908000,0.70711,9.409426e-05,-9.410429e-05,0.70711,0.0,0.0,0.0,0.0,0
1920000,0.70711,9.409845e-05,-9.408664e-05,0.70711,0.0,0.0,0.0,0.0,0
1932000,0.70711,9.4080795e-05,-9.409083e-05,0.70711,0.0,0.0,0.0,0.0,0
1944000,0.70711,9.4084986e-05,-9.407317e-05,0.70711,0.0,0.0,0.0,0.0,0
1956000,0.70711,9.406733e-05,-9.407736e-05,0.70711,0.0,0.0,0.0,0.0,0
1968000,0.70711,9.407152e-05,-9.40597e-05,0.70711,0.0,0.0,0.0,0.0,0
1980000,0.70711,9.405387e-05,-9.406389e-05,0.70711,0.0,0.0,0.0,0.0,0
1992000,0.70711,9.405805e-05,-9.404624e-05,0.70711,0.0,0.0,0.0,0.0,0
2000000,0.70711,9.405356e-05,-9.404175e-05,0.70711,0.0,0.0,0.0,0.0,0
2016000,0.70711,9.404458e-05,-9.403277e-05,0.70711,0.0,0.0,0.0,0.0,0
2028000,0.70711,9.402693e-05,-9.403696e-05,0.70711,0.0,0.0,0.0,0.0,0
2040000,0.70711,9.4031115e-05,-9.4019306e-05,0.70711,0.0,0.0,0.0,0.0,0
2052000,0.70711,9.401346e-05,-9.402349e-05,0.70711,0.0,0.0,0.0,0.0,0
2060000,0.70711,9.4008974e-05,-9.4019e-05,0.70711,0.0,0.0,0.0,0.0,0
2072000,0.70711,9.4013165e-05,-9.400135e-05,0.70711,0.0,0.0,0.0,0.0,0
2084000,0.70711,9.3995506e-05,-9.400554e-05,0.70711,0.0,0.0,0.0,0.0,0
2100000,0.70711,9.398653e-05,-9.399656e-05,0.70711,0.0,0.0,0.0,0.0,0
2108000,0.70711,9.398204e-05,-9.399207e-05,0.70711,0.0,0.0,0.0,0.0,0
2124000,0.70711,9.397307e-05,-9.398309e-05,0.70711,0.0,0.0,0.0,0.0,0
2136000,0.70711,9.397725e-05,-9.396544e-05,0.70711,0.0,0.0,0.0,0.0,0
2148000,0.70711,9.39596e-05,-9.3969626e-05,0.70711,0.0,0.0,0.0,0.0,0
2160000,0.70711,9.396378e-05,-9.3951974e-05,0.70711,0.0,0.0,0.0,0.0,0
2172000,0.70711,9.394613e-05,-9.395616e-05,0.70711,0.0,0.0,0.0,0.0,0
2180000,0.70711,9.394164e-05,-9.395167e-05,0.70711,0.0,0.0,0.0,0.0,0
2192000,0.70711,9.3945826e-05,-9.393402e-05,0.70711,0.0,0.0,0.0,0.0,0
2208000,0.70711,9.3936855e-05,-9.392504e-05,0.70711,0.0,0.0,0.0,0.0,0
2220000,0.70711,9.3919196e-05,-9.392923e-05,0.70711,0.0,0.0,0.0,0.0,0
2232000,0.70711,9.392339e-05,-9.391157e-05,0.70711,0.0,0.0,0.0,0.0,0
2240000,0.70711,9.39189e-05,-9.390708e-05,0.70711,0.0,0.0,0.0,0.0,0
2252000,0.70711,9.3901246e-05,-9.391127e-05,0.70711,0.0,0.0,0.0,0.0,0
2264000,0.70711,9.390543e-05,-9.389362e-05,0.70711,0.0,0.0,0.0,0.0,0
2276000,0.70711,9.388778e-05,-9.3897805e-05,0.70711,0.0,0.0,0.0,0.0,0
2292000,0.70711,9.38788e-05,-9.3888826e-05,0.70711,0.0,0.0,0.0,0.0,0
2304000,0.70711,9.388298e-05,-9.3871175e-05,0.70711,0.0,0.0,0.0,0.0,0
2316000,0.70711,9.386533e-05,-9.387536e-05,0.70711,0.0,0.0,0.0,0.0,0
2328000,0.70711,9.3869516e-05,-9.385771e-05,0.70711,0.0,0.0,0.0,0.0,0
2340000,0.70711,9.3851864e-05,-9.38619e-05,0.70711,0.0,0.0,0.0,0.0,0
2352000,0.70711,9.3856055e-05,-9.384424e-05,0.70711,0.0,0.0,0.0,0.0,0
2363999,0.70711,9.38384e-05,-9.384843e-05,0.70711,0.0,0.0,0.0,0.0,0
2376000,0.70711,9.384259e-05,-9.383077e-05,0.70711,0.0,0.0,0.0,0.0,0
2387999,0.70711,9.3824936e-05,-9.383496e-05,0.70711,0.0,0.0,0.0,0.0,0
2400000,0.70711,9.382912e-05,-9.381731e-05,0.70711,0.0,0.0,0.0,0.0,0
2408000,0.70711,9.382463e-05,-9.381282e-05,0.70711,0.0,0.0,0.0,0.0,0
2424000,0.70711,9.381565e-05,-9.380384e-05,0.70711,0.0,0.0,0.0,0.0,0
2435999,0.70711,9.3798e-05,-9.380803e-05,0.70711,0.0,0.0,0.0,0.0,0
2448000,0.70711,9.3802184e-05,-9.3790375e-05,0.70711,0.0,0.0,0.0,0.0,0
2456000,0.70711,9.3797695e-05,-9.3785886e-05,0.70711,0.0,0.0,0.0,0.0,0
2472000,0.70711,9.378872e-05,-9.377691e-05,0.70711,0.0,0.0,0.0,0.0,0
2483999,0.70711,9.3771065e-05,-9.37811e-05,0.70711,0.0,0.0,0.0,0.0,0
2496000,0.70711,9.3775256e-05,-9.376344e-05,0.70711,0.0,0.0,0.0,0.0,0
2507999,0.70711,9.37576e-05,-9.376763e-05,0.70711,0.0,0.0,0.0,0.0,0
2515999,0.70711,9.375311e-05,-9.376314e-05,0.70711,0.0,0.0,0.0,0.0,0
2528000,0.70711,9.37573e-05,-9.374549e-05,0.70711,0.0,0.0,0.0,0.0,0
2544000,0.70711,9.374832e-05,-9.373651e-05,0.70711,0.0,0.0,0.0,0.0,0
2556000,0.70711,9.373067e-05,-9.3740695e-05,0.70711,0.0,0.0,0.0,0.0,0
2568000,0.70711,9.373485e-05,-9.372304e-05,0.70711,0.0,0.0,0.0,0.0,0
2580000,0.70711,9.37172e-05,-9.372723e-05,0.70711,0.0,0.0,0.0,0.0,0
2592000,0.70711,9.3721384e-05,-9.3709576e-05,0.70711,0.0,0.0,0.0,0.0,0
2600000,0.70711,9.3716895e-05,-9.3705086e-05,0.70711,0.0,0.0,0.0,0.0,0
2616000,0.70711,9.3707924e-05,-9.369611e-05,0.70711,0.0,0.0,0.0,0.0,0
2628000,0.70711,9.3690265e-05,-9.37003e-05,0.70711,0.0,0.0,0.0,0.0,0
2640000,0.70711,9.3694456e-05,-9.368264e-05,0.70711,0.0,0.0,0.0,0.0,0
2652000,0.70711,9.36768e-05,-9.368683e-05,0.70711,0.0,0.0,0.0,0.0,0
2664000,0.70711,9.368099e-05,-9.366918e-05,0.70711,0.0,0.0,0.0,0.0,0
2676000,0.70711,9.366334e-05,-9.367336e-05,0.70711,0.0,0.0,0.0,0.0,0
2688000,0.70711,9.366752e-05,-9.365571e-05,0.70711,0.0,0.0,0.0,0.0,0
2696000,0.70711,9.366303e-05,-9.365122e-05,0.70711,0.0,0.0,0.0,0.0,0
2712000,0.70711,9.365405e-05,-9.3642244e-05,0.70711,0.0,0.0,0.0,0.0,0
2724000,0.70711,9.36364e-05,-9.364643e-05,0.70711,0.0,0.0,0.0,0.0,0
2732000,0.70711,9.363191e-05,-9.364194e-05,0.70711,0.0,0.0,0.0,0.0,0
2748000,0.70711,9.362293e-05,-9.363297e-05,0.70711,0.0,0.0,0.0,0.0,0
2760000,0.70711,9.3627124e-05,-9.361531e-05,0.70711,0.0,0.0,0.0,0.0,0
2772000,0.70711,9.3609466e-05,-9.36195e-05,0.70711,0.0,0.0,0.0,0.0,0
2780000,0.70711,9.360498e-05,-9.361501e-05,0.70711,0.0,0.0,0.0,0.0,0
2796000,0.70711,9.3596005e-05,-9.360603e-05,0.70711,0.0,0.0,0.0,0.0,0
2808000,0.70711,9.360019e-05,-9.358838e-05,0.70711,0.0,0.0,0.0,0.0,0
2820000,0.70711,9.358254e-05,-9.3592564e-05,0.70711,0.0,0.0,0.0,0.0,0
2832000,0.70711,9.358672e-05,-9.357491e-05,0.70711,0.0,0.0,0.0,0.0,0
2844000,0.70711,9.356907e-05,-9.3579096e-05,0.70711,0.0,0.0,0.0,0.0,0
2856000,0.70711,9.357325e-05,-9.3561444e-05,0.70711,0.0,0.0,0.0,0.0,0
2868000,0.70711,9.35556e-05,-9.356563e-05,0.70711,0.0,0.0,0.0,0.0,0
2880000,0.70711,9.355979e-05,-9.354798e-05,0.70711,0.0,0.0,0.0,0.0,0
2888000,0.70711,9.35553e-05,-9.354349e-05,0.70711,0.0,0.0,0.0,0.0,0
2904000,0.70711,9.3546325e-05,-9.353451e-05,0.70711,0.0,0.0,0.0,0.0,0
2916000,0.70711,9.3528666e-05,-9.35387e-05,0.70711,0.0,0.0,0.0,0.0,0
2928000,0.70711,9.353286e-05,-9.352104e-05,0.70711,0.0,0.0,0.0,0.0,0
2940000,0.70711,9.3515206e-05,-9.352523e-05,0.70711,0.0,0.0,0.0,0.0,0
2952000,0.70711,9.351939e-05,-9.350758e-05,0.70711,0.0,0.0,0.0,0.0,0
2964000,0.70711,9.350174e-05,-9.3511764e-05,0.70711,0.0,0.0,0.0,0.0,0
2976000,0.70711,9.350592e-05,-9.349411e-05,0.70711,0.0,0.0,0.0,0.0,0
2988000,0.70711,9.348827e-05,-9.3498296e-05,0.70711,0.0,0.0,0.0,0.0,0
2996000,0.70711,9.348378e-05,-9.349381e-05,0.70711,0.0,0.0,0.0,0.0,0
3012000,0.70711,9.34748e-05,-9.3484836e-05,0.70711,0.0,0.0,0.0,0.0,0
3024000,0.70711,9.347899e-05,-9.346718e-05,0.70711,0.0,0.0,0.0,0.0,0
3036000,0.70711,9.3461334e-05,-9.347137e-05,0.70711,0.0,0.0,0.0,0.0,0
3048000,0.70711,9.3465525e-05,-9.345371e-05,0.70711,0.0,0.0,0.0,0.0,0
3060000,0.70711,9.344787e-05,-9.34579e-05,0.70711,0.0,0.0,0.0,0.0,0
3072000,0.70711,9.345206e-05,-9.344025e-05,0.70711,0.0,0.0,0.0,0.0,0
