timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
14408000,0.0,0.21096013,1.6131141,0.0,0.688142,-0.07600588,0.07285567,0.7178967,1.0,0.0,0.0,1,0,0,0,1,2
14432000,0.0,0.21801594,1.6131141,0.0,0.6878807,-0.078538075,0.07528291,0.7176241,1.0,0.0,0.0,1,0,0,0,1,2
14455999,0.0,0.22509478,1.6131141,0.0,0.6876099,-0.08107755,0.077717125,0.7173416,1.0,0.0,0.0,1,0,0,0,1,2
14480000,0.0,0.23219681,1.6131141,0.0,0.6873296,-0.083624326,0.080158345,0.7170492,1.0,0.0,0.0,1,0,0,0,1,2
14504000,0.0,0.23932163,1.6131141,0.0,0.68703973,-0.08617822,0.08260638,0.71674675,1.0,0.0,0.0,1,0,0,0,1,2
14528000,0.0,0.2464687,1.6131141,0.0,0.68674016,-0.08873898,0.085061006,0.71643424,1.0,0.0,0.0,1,0,0,0,1,2
14551999,0.0,0.25363678,1.6131141,0.0,0.6864309,-0.091306135,0.08752176,0.7161116,1.0,0.0,0.0,1,0,0,0,1,2
14576000,0.0,0.2608259,1.6131141,0.0,0.68611187,-0.09387964,0.089988604,0.71577877,1.0,0.0,0.0,1,0,0,0,1,2
14600000,0.0,0.26803523,1.6131141,0.0,0.68578297,-0.09645917,0.09246122,0.7154357,1.0,0.0,0.0,1,0,0,0,1,2
14624000,0.0,0.27526408,1.6131141,0.0,0.6854443,-0.09904443,0.09493933,0.71508235,1.0,0.0,0.0,1,0,0,0,1,2
14647999,0.0,0.28251117,1.6131141,0.0,0.6850958,-0.1016349,0.097422436,0.71471876,1.0,0.0,0.0,1,0,0,0,1,2
14672000,0.0,0.28977644,1.6131141,0.0,0.6847374,-0.10423053,0.09991048,0.71434486,1.0,0.0,0.0,1,0,0,0,1,2
14696000,0.0,0.29705986,1.6131141,0.0,0.684369,-0.10683128,0.10240344,0.7139606,1.0,0.0,0.0,1,0,0,0,1,2
14720000,0.0,0.30436072,1.6131141,0.0,0.6839906,-0.109436825,0.104900986,0.7135658,1.0,0.0,0.0,1,0,0,0,1,2
14743999,0.0,0.31167763,1.6131141,0.0,0.6836023,-0.11204664,0.10740263,0.71316063,1.0,0.0,0.0,1,0,0,0,1,2
14768000,0.0,0.3190105,1.6131141,0.0,0.6832039,-0.11466062,0.109908275,0.7127451,1.0,0.0,0.0,1,0,0,0,1,2
14792000,0.0,0.32635677,1.6131141,0.0,0.6827956,-0.11727786,0.112417035,0.7123191,1.0,0.0,0.0,1,0,0,0,1,2
14816000,0.0,0.33371577,1.6131141,0.0,0.6823773,-0.11989803,0.11492861,0.7118827,1.0,0.0,0.0,1,0,0,0,1,2
14839999,0.0,0.34108618,1.6131141,0.0,0.68194914,-0.12252065,0.117442526,0.7114361,1.0,0.0,0.0,1,0,0,0,1,2
14864000,0.0,0.34846795,1.6131141,0.0,0.68151104,-0.12514564,0.11995872,0.71097904,1.0,0.0,0.0,1,0,0,0,1,2
14888000,0.0,0.34906584,1.6131141,0.0,0.6814751,-0.12535818,0.12016246,0.71094155,1.0,0.0,0.0,1,0,0,0,1,2
14912000,0.0,0.34906584,1.6131141,0.0,0.6814751,-0.12535818,0.12016246,0.71094155,1.0,0.0,0.0,1,0,0,0,1,2
14935999,0.0,0.34906584,1.6131141,0.0,0.6814751,-0.12535818,0.12016246,0.71094155,1.0,0.0,0.0,1,0,0,0,1,2
14960000,0.0,0.34906584,1.6131141,0.0,0.6814751,-0.12535818,0.12016246,0.71094155,1.0,0.0,0.0,1,0,0,0,1,2
14984000,0.0,0.34906584,1.6131141,0.0,0.6814751,-0.12535818,0.12016246,0.71094155,1.0,0.0,0.0,1,0,0,0,1,2
15008000,-0.18119675,0.34906584,1.5731441,0.0,0.6815715,-0.18535689,0.059063487,0.705418,1.0,0.0,0.0,1,0,0,0,0,2
