timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
236976000,0.052543566,0.01813221,-0.021331072,0.04510498,0.11260986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.026031494,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0038139524,5.5357814e-05,-0.0006145835,0.0,0.0,0.027553558,0.0043927617,0.0
237176000,0.017734975,0.017085075,-0.06599796,0.028808594,0.11425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.12814331,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0005351361,-6.709993e-05,0.00013196468,0.0,0.0,0.062942505,0.003819284,0.0
237376000,0.03979078,0.015561104,-0.058832526,0.038894653,0.11099243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.03894043,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0036284574,-0.00020709634,0.00058194995,0.0,0.0,0.038170815,0.0034392788,0.0
237576000,0.04094848,0.013386726,-0.04998076,0.03729248,0.067871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0062561035,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0017832753,0.001427412,0.0010735691,0.0,0.0,0.025470734,0.0033599958,0.0
237776000,0.049967572,0.032935143,-0.026165009,0.032180786,0.15890503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.06311035,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00041791238,0.0027722567,0.00031381845,0.0,0.0,0.07129192,0.0028512536,0.0
237976000,0.027331114,0.028479576,-0.008914828,0.02835083,0.057495117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.051879883,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0010669571,0.0018332601,-0.00014448166,0.0,0.0,-0.023471832,0.0027829201,0.0
238176000,0.036583275,0.015712738,-0.083207846,0.024841309,0.10961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.055541992,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.00288321,-0.0016193986,0.0017206967,0.0,0.0,-0.12281227,0.0031127594,0.0
238376000,0.04724084,0.0011091232,-0.030786276,0.03529358,0.11077881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.029144287,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0020643235,0.00020238757,0.0012445748,0.0,0.0,0.007678032,0.003075432,0.0
238576000,0.027232498,0.011961937,-0.03348887,0.02949524,0.10720825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.04058838,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0026951404,-0.0012796074,0.0007379651,0.0,0.0,0.002670288,0.0033294663,0.0
238776000,0.026492983,0.03774643,-0.07862556,0.028839111,0.06863403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.06173706,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0003211531,0.00013048947,0.00021871924,0.0,0.0,0.076239586,0.0032089364,0.0
