timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
113308000,113304000,4000000.0,1.0,0.11254979,12.567728,0.0,255,0,6,4,0,0,0,0,1,1,36
114304000,114300000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
115304000,114300000,4000000.0,1.0,0.11254979,12.628485,0.0,255,0,6,4,0,0,0,0,1,1,36
116300000,116296000,4000000.0,1.0,0.11254979,12.448206,0.0,255,0,6,4,0,0,0,0,1,1,36
117300000,117300000,4000000.0,1.0,0.13545816,12.660357,0.0,255,0,6,4,0,0,0,0,1,1,36
118300000,118296000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
119300000,119296000,4000000.0,1.0,0.11254979,12.580676,0.0,255,0,6,4,0,0,0,0,1,1,36
120296000,120292000,4000000.0,1.0,0.11254979,12.28486,0.0,255,0,6,4,0,0,0,0,1,1,36
121296000,121292000,4000000.0,1.0,0.1384462,12.7998,0.0,255,0,6,4,0,0,0,0,1,1,36
122296000,121292000,4000000.0,1.0,0.11254979,12.394422,0.0,255,0,6,4,0,0,0,0,1,1,36
123296000,123292000,4000000.0,1.0,0.13545816,12.7071705,0.0,255,0,6,4,0,0,0,0,1,1,36
124296000,124292000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
125296000,125292000,4000000.0,1.0,0.11254979,12.581673,0.0,255,0,6,4,0,0,0,0,1,1,36
126296000,126292000,4000000.0,1.0,0.11254979,12.449203,0.0,255,0,6,4,0,0,0,0,1,1,36
127296000,127292000,4000000.0,1.0,0.11254979,12.661353,0.0,255,0,6,4,0,0,0,0,1,1,36
128287999,128284000,4000000.0,1.0,0.11254991,12.285869,0.0,255,0,6,4,0,0,0,0,1,1,36
129287999,129284000,4000000.0,1.0,0.13545802,12.616521,0.0,255,0,6,4,0,0,0,0,1,1,36
130287999,130284000,4000000.0,1.0,0.11254979,12.276892,0.0,255,0,6,4,0,0,0,0,1,1,36
131287999,131284000,4000000.0,1.0,0.13844635,12.765948,0.0,255,0,6,4,0,0,0,0,1,1,36
132284000,132284000,4000000.0,1.0,0.112549685,12.317717,0.0,255,0,6,4,0,0,0,0,1,1,36
133284000,132284000,4000000.0,1.0,0.11254979,12.616532,0.0,255,0,6,4,0,0,0,0,1,1,36
134284000,133284000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
135284000,134284000,4000000.0,1.0,0.13545816,12.628485,0.0,255,0,6,4,0,0,0,0,1,1,36
136280000,136276000,4000000.0,1.0,0.11254979,12.448206,0.0,255,0,6,4,0,0,0,0,1,1,36
137280000,137276000,4000000.0,1.0,0.11254979,12.599601,0.0,255,0,6,4,0,0,0,0,1,1,36
138280000,138276000,4000000.0,1.0,0.11254979,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
139280000,139276000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
140276000,140272000,4000000.0,1.0,0.13545816,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
141180000,141176000,4000000.0,1.0,0.1384462,12.7998,0.0,255,0,6,4,0,0,0,0,1,1,36
142176000,142172000,4000000.0,1.0,0.11254979,12.32968,0.0,255,0,6,4,0,0,0,0,1,1,36
143176000,143172000,4000000.0,1.0,0.11254979,12.567728,0.0,255,0,6,4,0,0,0,0,1,1,36
144176000,144172000,4000000.0,1.0,0.13545816,12.297808,0.0,255,0,6,4,0,0,0,0,1,1,36
