timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,coning_vibration,measure_rate,rotation
132000000,0,2294028,11.181305,0,0,0,34.906586,2.393558e-05,6.8335018e-09,1000,0
133004000,0,2294028,11.178833,0,0,0,34.906586,2.3160614e-05,3.3448753e-09,1000,0
134004000,0,2294028,11.177551,0,0,0,34.906586,2.4671092e-05,1.7235156e-09,1000,0
135004000,0,2294028,11.177216,0,0,0,34.906586,2.4602376e-05,1.0604744e-09,1000,0
136004000,0,2294028,11.177338,0,0,0,34.906586,2.4675264e-05,7.0907463e-10,1000,0
137004000,0,2294028,11.177551,0,0,0,34.906586,2.4175557e-05,6.3550776e-10,1000,0
138004000,0,2294028,11.177765,0,0,0,34.906586,2.4097717e-05,5.6951427e-10,1000,0
139004000,0,2294028,11.177887,0,0,0,34.906586,2.3730297e-05,5.290158e-10,1000,0
140004000,0,2294028,11.177856,0,0,0,34.906586,2.2723692e-05,5.7272004e-10,1000,0
141004000,0,2294028,11.177795,0,0,0,34.906586,2.3841516e-05,5.74567e-10,1000,0
142004000,0,2294028,11.177673,0,0,0,34.906586,2.435349e-05,5.529929e-10,1000,0
143004000,0,2294028,11.17749,0,0,0,34.906586,2.5163345e-05,6.9199874e-10,1000,0
144004000,0,2294028,11.177399,0,0,0,34.906586,2.5185203e-05,7.075823e-10,1000,0
145004000,0,2294028,11.177338,0,0,0,34.906586,2.3614184e-05,6.5384137e-10,1000,0
146004000,0,2294028,11.177368,0,0,0,34.906586,2.442364e-05,1.3016155e-09,1000,0
147004000,0,2294028,11.1770935,0,0,0,34.906586,2.5624651e-05,2.0638462e-08,1000,0
148004000,0,2294028,11.179993,0,0,0,34.906586,2.461723e-05,2.1289313e-08,1000,0
149004000,0,2294028,11.182892,0,0,0,34.906586,2.423778e-05,2.1806452e-08,1000,0
150004000,0,2294028,11.183472,0,0,0,34.906586,2.5206788e-05,2.1514275e-08,1000,0
151004000,0,2294028,11.182037,0,0,0,34.906586,2.271655e-05,1.3455557e-08,1000,0
152004000,0,2294028,11.179993,0,0,0,34.906586,2.4478817e-05,8.8907495e-09,1000,0
153004000,0,2294028,11.178314,0,0,0,34.906586,2.4190877e-05,4.689653e-09,1000,0
154004000,0,2294028,11.177399,0,0,0,34.906586,2.53541e-05,2.270989e-09,1000,0
155004000,0,2294028,11.177002,0,0,0,34.906586,2.4897028e-05,1.197306e-09,1000,0
156004000,0,2294028,11.17688,0,0,0,34.906586,2.4775682e-05,7.2354367e-10,1000,0
157004000,0,2294028,11.176819,0,0,0,34.906586,2.5086261e-05,6.9087136e-10,1000,0
158004000,0,2294028,11.176819,0,0,0,34.906586,2.5920162e-05,6.5495326e-10,1000,0
159004000,0,2294028,11.176758,0,0,0,34.906586,2.4859397e-05,6.411768e-10,1000,0
160004000,0,2294028,11.176819,0,0,0,34.906586,2.4723207e-05,7.413701e-10,1000,0
161004000,0,2294028,11.177002,0,0,0,34.906586,2.357382e-05,6.309917e-10,1000,0
162004000,0,2294028,11.177246,0,0,0,34.906586,2.5489775e-05,6.7664585e-10,1000,0
163004000,0,2294028,11.177521,0,0,0,34.906586,2.592362e-05,7.0642253e-10,1000,0
164004000,0,2294028,11.177734,0,0,0,34.906586,2.493081e-05,6.208054e-10,1000,0
165004000,0,2294028,11.1779175,0,0,0,34.906586,2.5370791e-05,6.5805406e-10,1000,0
166004000,0,2294028,11.17804,0,0,0,34.906586,2.497032e-05,6.143798e-10,1000,0
167004000,0,2294028,11.17804,0,0,0,34.906586,2.4650692e-05,5.1157034e-10,1000,0
168004000,0,2294028,11.1779785,0,0,0,34.906586,2.3711958e-05,5.849756e-10,1000,0
169004000,0,2294028,11.1779175,0,0,0,34.906586,2.355836e-05,6.03944e-10,1000,0
170004000,0,2294028,11.177887,0,0,0,34.906586,2.4472127e-05,5.482984e-10,1000,0
171004000,0,2294028,11.177795,0,0,0,34.906586,2.4544868e-05,5.712503e-10,1000,0
172004000,0,2294028,11.177704,0,0,0,34.906586,2.4985933e-05,6.3973715e-10,1000,0
173004000,0,2294028,11.177704,0,0,0,34.906586,2.3266872e-05,6.0959926e-10,1000,0
174004000,0,2294028,11.177704,0,0,0,34.906586,2.5241672e-05,6.0236e-10,1000,0
175004000,0,2294028,11.177704,0,0,0,34.906586,2.4723893e-05,6.6549294e-10,1000,0
176004000,0,2294028,11.177673,0,0,0,34.906586,2.2130269e-05,4.6355972e-10,1000,0
177004000,0,2294028,11.177612,0,0,0,34.906586,2.4695122e-05,2.989705e-09,1000,0
